m
0.761363636
0.505617978
1.045454545
0.469072165
0.653061224
0.746031746
0.680851064
0.628865979
0.450980392
0.678571429
0.566037736
5.333333333
0.840909091
0.698630137
0.722222222
0.555555556
0.896551724
0.646153846
0.605633803
0.58
0.72
0.618705036
0.849206349
0.575342466
0.5
0.647058824
0.552631579
0.58974359
0.717391304
0.684210526
0.491017964
0.675675676
0.666666667
0.582089552
0.591623037
0.685714286
0.591463415
0.625310174
0.648648649
0.728703704
0.382978723
0.592592593
0.342857143
0.584415584
0.7
0.5375
0.421800948
0.701492537
0.5625
0.591603053
0.325
0.056872038
0.417105263
0.574193548
0.568965517
0.611111111
0.655681818
0.45
